span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,0.8,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.5447411859199993,5.071035302496273,-0.1808946413166228,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.404770124751515,1.6804799999999998,21.422450728363327,0.3856711451209771,8.912782813240819,10.695339375888983,10.872632067172772,102.2638475824805,105.0759832121073,7.00882593222306,0.00671365685840819,0.6170003886916847,-350.65762452383257,348.5527534404202,0.2689218003016608,1767.921421645739,2359.641562646176,15.0,False,"SOC floor violated (min 0.007, unmet 349 Wh); did not refill (end SOC 0.617); FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1593 rpm, 10.70 m/s; FLAG MJ-21x14EL: thrust table 1.93 N vs similarity 0.00 N (100%) at 1634 rpm, 10.87 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.6128338341599991,5.071120442663527,0.009728472647250186,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.464033230351514,1.6804799999999998,21.422450728363327,0.43388003826109917,8.938129322232964,10.725755186679557,10.903552069626938,102.3779724573239,105.22436255721993,6.982816336117097,0.005447176334846853,0.6143958750616098,-353.173584690485,349.0786803226417,0.2565568548756083,1767.921421645739,2362.6888498748344,15.0,False,"SOC floor violated (min 0.005, unmet 349 Wh); did not refill (end SOC 0.614); FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1596 rpm, 10.73 m/s; FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1637 rpm, 10.90 m/s"
6.0,0.3,0.8,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.6150276362122452,5.033537064758139,-0.060580531964943285,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.276452269151514,1.6001999999999998,22.49718785151856,0.43757523777695195,9.077123088901208,10.89254770668145,11.073109447640144,103.32460373229857,106.48384572232395,7.184170462050475,0.009672243512043648,0.6820402854818529,-356.72926374428255,356.72926374428255,0.26684063261180546,1852.1081560098207,2388.7502078170605,14.833333333333334,False,"SOC floor violated (min 0.010, unmet 357 Wh); did not refill (end SOC 0.682); FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1615 rpm, 10.89 m/s; FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1659 rpm, 11.07 m/s"
6.0,0.3,0.8,0.34,0.4,0.5,0.12,1.9225,1.69,1.69,0.21885521885521889,0.6620935500515904,5.0360182825647195,0.07687785035019279,2,one_per_bay,True,26+26+26+13,4,91,26,26,13,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.336901286614477,1.60605,22.41524236480807,0.47896594836849293,9.087185773067782,10.904622927681338,11.08538483511944,104.28269441487132,107.51161571466633,7.142738156815514,0.003182713305011787,0.7227737080666533,-357.1573591984632,357.1573591984632,0.1629413412067784,1915.2482067828832,2412.6521879800325,14.75,False,"SOC floor violated (min 0.003, unmet 357 Wh); did not refill (end SOC 0.723); FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1621 rpm, 10.90 m/s; FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1666 rpm, 11.09 m/s"
6.0,0.3,0.9,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.6919060907387758,5.033348125824361,0.10855901040719274,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.336801563151514,1.6001999999999998,22.49718785151856,0.4922721424990709,9.103737141182119,10.924484569418542,11.105575715957258,103.52425431131714,106.72862109130956,7.1562365052997094,0.0074925154751749636,0.6776115943229799,-357.6480892972817,357.6480892972817,0.24644268519633764,1852.1081560098207,2393.9554656215446,14.833333333333334,False,"SOC floor violated (min 0.007, unmet 358 Wh); did not refill (end SOC 0.678); FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1619 rpm, 10.92 m/s; FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1663 rpm, 11.11 m/s"
6.0,0.36,0.8,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.5807690421316394,5.077763972013576,-0.03434797711648274,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.464319618514478,1.6945200000000002,21.244954323348203,0.4178676221426088,8.901145527754814,10.681374633305776,10.858435836208628,102.96293174628475,105.79960246281725,6.958645715772253,0.009479509966246096,0.6317586452780288,-358.9059531818711,358.9059531818711,0.3283168320585557,1788.9681052367584,2376.640398359622,15.0,False,"SOC floor violated (min 0.009, unmet 359 Wh); did not refill (end SOC 0.632); FLAG MJ-21x14EL: thrust table 1.95 N vs similarity 0.00 N (100%) at 1596 rpm, 10.68 m/s; FLAG MJ-21x14EL: thrust table 1.95 N vs similarity 0.00 N (100%) at 1636 rpm, 10.86 m/s"
6.0,0.3,1.0,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.7687845452653065,5.033146851018571,0.24387878940044438,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.401480998351515,1.6001999999999998,22.49718785151856,0.5469690472211899,9.132174677935875,10.95860961352305,11.140266438316269,103.9141490402521,107.17761823534188,7.125663407051959,0.003237786391019546,0.6692308783625068,-359.44003200615833,359.44003200615833,0.20902625652697773,1852.1081560098207,2403.854711254372,14.833333333333334,False,"SOC floor violated (min 0.003, unmet 359 Wh); did not refill (end SOC 0.669); FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1624 rpm, 10.96 m/s; FLAG MJ-21x14EL: thrust table 1.89 N vs similarity 0.00 N (100%) at 1669 rpm, 11.14 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.6533651723980943,5.077848358441466,0.14140618735399912,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.52339276291448,1.6945200000000002,21.244954323348203,0.4701010749104349,8.926234528952468,10.711481434742963,10.889041706975469,103.08438556318617,105.95683814254947,6.933013947797881,0.008155033810405478,0.6290164496467717,-359.47571948264715,359.47571948264715,0.3029607196058149,1788.9681052367584,2379.877326730736,15.0,False,"SOC floor violated (min 0.008, unmet 359 Wh); did not refill (end SOC 0.629); FLAG MJ-21x14EL: thrust table 1.94 N vs similarity 0.00 N (100%) at 1599 rpm, 10.71 m/s; FLAG MJ-21x14EL: thrust table 1.95 N vs similarity 0.00 N (100%) at 1640 rpm, 10.89 m/s"
6.0,0.36,1.0,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.6809264823999991,5.0712115783732,0.16223413076560766,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.527843714831514,1.6804799999999998,21.422450728363327,0.4820889314012213,8.965340603336806,10.758408724004166,10.936746892581555,102.6883233480182,105.5815556027772,6.954086886713344,0.0020066215174249936,0.6077335693113213,-359.6093720452636,350.50502541789575,0.22679076774583606,1767.921421645739,2370.558850645273,15.0,False,"SOC floor violated (min 0.002, unmet 351 Wh); did not refill (end SOC 0.608); FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1601 rpm, 10.76 m/s; FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1642 rpm, 10.94 m/s"
6.0,0.36,1.0,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.7259613026645493,5.077938766454975,0.2820161566855195,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10L-V2-kv1100-6.7PG,MJ-21x14EL,10.587051278434478,1.6945200000000002,21.244954323348203,0.522334527678261,8.953192283949685,10.743830740739622,10.921927255471758,103.39737215059874,106.31638596759977,6.9047075430621945,0.0047127940951338446,0.622331534688528,-360.9402036603753,360.9402036603753,0.2729984008516233,1788.9681052367584,2387.808055967374,15.0,False,"SOC floor violated (min 0.005, unmet 361 Wh); did not refill (end SOC 0.622); FLAG MJ-21x14EL: thrust table 1.94 N vs similarity 0.00 N (100%) at 1603 rpm, 10.74 m/s; FLAG MJ-21x14EL: thrust table 1.95 N vs similarity 0.00 N (100%) at 1645 rpm, 10.92 m/s"
