span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,n_packs,cells_per_string,string_plan,n_strings,n_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
5.5,0.3,1.3,0.34,0.4,0.5,0.12,1.5814564984119155,3,mixed,27+27+12,3,66,22x12E,11.266028432219779,1.4396621697141447,21.01187392178705,0.313205443032607,10.59750363852822,12.717004366233864,12.9278094515068,67.79402315760568,69.54890534144396,6.20363926489682,0.4160969152982956,0.86561220256856,-165.74791847815658,0.0,0.16789560312723495,1452.7083568130336,1524.312897256949,14.166666666666668,False,did not refill (end SOC 0.866)
5.5,0.3,1.6,0.34,0.6,0.5,0.18,1.5674060041490667,3,mixed,29+29+10+1,4,69,22x12E,11.721481489353394,1.5080887204978881,20.05850159134743,0.31163941898415515,10.561515881397371,12.673819057676845,12.883908276037202,70.60907123609523,72.41323632513388,5.940694997075847,0.39214994776132833,0.8640000514384377,-168.08392546570371,0.0,0.20027579607341767,1518.7405548499887,1592.3586663751616,14.166666666666668,False,did not refill (end SOC 0.864)
5.5,0.3,1.6,0.34,0.6,0.5,0.18,1.5674060041490667,3,mixed,29+29+10+1+1,5,70,22x12E,11.837481489353394,1.5080887204978881,20.05850159134743,0.31163941898415515,10.61364750201675,12.7363770024201,12.947503220729212,71.68486037574216,73.54309699155877,5.882268960973162,0.38279779019693405,0.8609373367611578,-172.52179903308232,0.0,0.19647888773368055,1540.7512875289729,1618.7093090733313,14.166666666666668,False,did not refill (end SOC 0.861)
6.0,0.4,1.3,0.34,0.4,0.0,0.16000000000000003,0.49917527673716505,2,mixed,29+29+21+7+1+1,6,88,19x10E,11.19514148561168,1.7998020664169199,20.002199503898495,0.3115422679535207,9.44823897784773,11.337886773417276,11.525830735631462,90.96011497180395,93.79587747064564,2.8149913059125664,0.00974356449576002,0.8959412663910212,-183.78771669709582,181.57649524727256,0.13519383066517082,1936.9444757507108,2090.927757228579,14.166666666666668,False,"SOC floor violated (min 0.010, unmet 182 Wh); did not refill (end SOC 0.896)"
6.0,0.36,1.3,0.34,0.6,0.5,0.216,1.7686004107020508,2,mixed,29+29+16+8+5,5,87,19x10E,11.441549268056201,1.982678459141095,18.157255824323304,0.30802541424728663,9.100488866248716,10.920586639498458,11.10161317149231,91.07655284430945,93.67624594316419,2.7339525270169442,0.007583649266655789,0.874000453874209,-185.87419480841052,182.63388482204863,0.4652653911700272,1914.9337430717253,2090.967634885691,14.333333333333332,False,"SOC floor violated (min 0.008, unmet 183 Wh); did not refill (end SOC 0.874)"
6.0,0.4,1.3,0.34,0.6,0.0,0.24,0.5454984328043848,2,mixed,29+29+24+8+6,5,96,19x10E,11.575427235983819,2.007279749248702,17.93471986825669,0.30755231251444803,9.097310384256415,10.916772461107698,11.097735766874855,92.29341718693784,94.93825206240787,2.696868251164262,0.009377844445863898,0.9999999999528685,-186.12817498202642,186.12817498202642,48.4479491531618,2113.030337182592,2121.4903612412095,14.0,False,"SOC floor violated (min 0.009, unmet 186 Wh)"
6.0,0.4,1.6,0.34,0.6,0.0,0.24,0.4894789889065679,2,mixed,29+29+21+7,4,86,19x10E,11.527445844753895,1.998316638225051,18.015163018397324,0.3077246800341336,9.098773255003326,10.918527906003991,11.099520311132947,91.02454288555482,93.60137461604765,2.7137593284150476,0.007157882275780758,0.8538709233803261,-186.2854857215958,183.43628176388623,0.3222535502868891,1892.9230103927393,2089.4984026480847,14.333333333333332,False,"SOC floor violated (min 0.007, unmet 183 Wh); did not refill (end SOC 0.854)"
6.0,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5665992537056255,2,mixed,29+29+24+8+6,5,96,19x10E,11.674413726077894,2.0429817985005188,17.621302366189855,0.3068657346442208,9.055944257199803,10.867133108639763,11.047273561191766,92.43103233454568,95.04810060442696,2.6703429301533705,0.007761904374900021,0.9999999999119096,-186.5272386120835,186.5272386120835,45.805020130968906,2113.030337182592,2124.515458727909,14.0,False,"SOC floor violated (min 0.008, unmet 187 Wh)"
6.0,0.4,1.3,0.34,0.4,0.0,0.16000000000000003,0.49917527673716505,2,mixed,29+29+21+7+1,5,87,19x10E,11.07914148561168,1.7998020664169199,20.002199503898495,0.3115422679535207,9.399161902529618,11.278994283035543,11.465962006184355,89.40656655554287,92.13620789217143,2.8490039192609062,0.003995064912016883,0.8859965130933092,-189.3407672949917,155.63891995231285,0.1831414816756845,1914.933743071725,2052.5990704765295,14.166666666666668,False,"SOC floor violated (min 0.004, unmet 156 Wh); did not refill (end SOC 0.886)"
6.0,0.36,1.3,0.34,0.4,0.5,0.144,1.7596580248182372,2,mixed,29+29+14+7+3+3,6,85,19x10E,11.350722165495899,1.8920861333607393,19.026617956369936,0.3097675743584473,9.278755789805873,11.134506947767047,11.319079557715066,91.48006433032782,94.19253176509943,2.7656862010913392,0.008501329458452172,0.8291377600992429,-193.46802804453253,193.46802804453253,0.17854431381601424,1870.9122777137547,2101.7420624639844,14.333333333333332,False,"SOC floor violated (min 0.009, unmet 193 Wh); did not refill (end SOC 0.829)"
