span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.3,0.34,1.0,1.0,0.36,3.0,1.1601060959438814,0.0,0.2578013546541958,0.5000000000000001,5.3857965620911905,-0.13190187624625005,2,mixed,False,26+26+16+10+10,5,88,16,36,8,18x10E,11.801312455853601,2.16,16.666666666666664,0.30461538461538473,8.854962538423926,10.625955046108711,10.802097578979817,68.71116872463628,109.22568101019557,2.122059485506007,0.11057539122198115,0.848248021624441,-127.27241111078996,0.0,0.26344619633113925,1936.9444757507104,1957.8466377467691,13.416666666666668,False,"SOC floor violated (min 0.111, unmet 0 Wh); did not refill (end SOC 0.848)"
6.0,0.36,1.3,0.34,0.6,0.5,0.216,1.7686004107020508,1.0744016428082028,0.0,0.23875592055156475,0.5,5.212580610535127,-0.2960215870655978,2,mixed,False,26+26+16+8+8,5,84,16,34,8,19x10E,11.417549268056202,1.982678459141095,18.157255824323304,0.3080254142760585,9.09093918097221,10.909127017166652,11.08996358723289,90.89796087844674,93.47134540562463,2.7398130917570804,0.0064599334958058245,0.8137280656280471,-186.9597042430516,185.13174807702575,0.14419703638901993,1848.9015450347686,2086.427111512099,14.333333333333332,False,"SOC floor violated (min 0.006, unmet 185 Wh); did not refill (end SOC 0.814)"
6.0,0.4,1.3,0.34,0.4,0.0,0.16000000000000003,0.49917527673716505,0.9983505534743301,0.0,0.22185567850381158,0.5,5.126892504257498,-0.4639042302702894,2,mixed,False,26+26+21+7+4,5,84,21,30,7,19x10E,11.05514148561168,1.7998020664169199,20.002199503898495,0.3115422679734135,9.388975996740337,11.266771196088404,11.453536301638609,89.03386395612192,91.73518702654756,2.8563725994768956,0.0056711308748790025,0.8297440885363168,-187.7216875748669,157.29165286629154,0.2888769013121089,1848.9015450347686,2042.9255246277005,14.333333333333332,False,"SOC floor violated (min 0.006, unmet 157 Wh); did not refill (end SOC 0.830)"
6.0,0.4,1.3,0.34,0.6,0.0,0.24,0.5454984328043848,1.0909968656087696,0.0,0.24244374788632467,0.5,5.224585586884794,-0.27255985902256663,2,mixed,False,26+26+24+9+9,5,94,24,35,8,19x10E,11.559427235983819,2.007279749248702,17.93471986825669,0.30755231252488346,9.09102088424147,10.909225061089764,11.09006325639391,92.2831334079016,94.90794072515179,2.7002382755870955,0.007648126280967865,0.9999978986608182,-187.83154002553087,187.83154002553087,6.832224694544129,2069.0088718246216,2121.043274962139,14.0,False,"SOC floor violated (min 0.008, unmet 188 Wh)"
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.3529443121020869,0.7058886242041738,0.0,0.15686413860488777,0.5,4.97166450981635,-0.7959949508901971,2,mixed,False,21+21+10,3,52,10,21,0,22x12E,9.42683400064827,1.2185299761783757,24.8249945355237,0.31826631974748937,10.536909993900704,12.644291992680843,12.853891751788451,55.68907953337096,57.09827160894611,7.501552987004204,0.2759117762597994,0.7840169245115021,-189.31965092188898,0.0,0.15301001651562984,1144.5580993072372,1230.1600988648033,14.333333333333332,False,did not refill (end SOC 0.784)
6.0,0.45,1.3,0.34,0.4,0.0,0.18000000000000002,0.5665992537056255,1.133198507411251,0.0,0.2518218904169699,0.5,5.242820544119397,-0.23701868376088542,2,mixed,False,26+26+24+9+9,5,94,24,35,8,19x10E,11.658413726077894,2.0429817985005188,17.621302366189855,0.3068657346887886,9.049736459920993,10.859683751905191,11.039700719221484,92.62028178342679,95.22334181044299,2.672800228407525,0.003910165477906492,0.9998098413025412,-189.42278014834235,188.81307717995978,0.3090215362350209,2069.0088718246216,2128.700441403503,14.083333333333334,False,"SOC floor violated (min 0.004, unmet 189 Wh)"
6.0,0.4,1.6,0.34,0.6,0.0,0.24,0.4894789889065679,0.9789579778131358,0.0,0.21754621727942303,0.5,5.22026834531255,-0.28100387238006586,2,mixed,False,26+26+21+10,4,83,21,36,0,19x10E,11.503445844753896,1.998316638225051,18.015163018397324,0.307724680039524,9.089296553020114,10.907155863624137,11.087959758606003,90.45025821394684,92.99484679427653,2.7212171387680693,0.0031031551998993157,0.7946298830523929,-190.20235207689728,177.29367822808968,0.0894591132848023,1826.8908123557821,2075.191837696209,14.416666666666666,False,"SOC floor violated (min 0.003, unmet 177 Wh); did not refill (end SOC 0.795)"
6.0,0.4,1.3,0.34,0.4,0.0,0.16000000000000003,0.49917527673716505,0.9983505534743301,0.0,0.22185567850381158,0.5,5.127081148997577,-0.4635578337250237,2,mixed,False,26+26+21+7+4+4,6,88,21,30,7,19x10E,11.19514148561168,1.7998020664169199,20.002199503898495,0.3115422679734135,9.44823897784773,11.337886773417276,11.525830735631462,90.9051933419455,93.73386850998497,2.815252298308504,0.0025093435533753046,0.8892997515126433,-190.77597412743947,173.8402837707898,0.14036124405355938,1936.9444757507108,2089.539946025734,14.166666666666668,False,"SOC floor violated (min 0.003, unmet 174 Wh); did not refill (end SOC 0.889)"
6.0,0.36,1.3,0.34,0.4,0.5,0.144,1.7596580248182372,1.0386320992729488,0.0,0.23080713315585882,0.5,5.175014604654985,-0.37872854021400726,2,mixed,False,26+26+14+7+6+6,6,85,14,32,7,19x10E,11.350722165495899,1.8920861333607393,19.026617956369936,0.30976757436501645,9.278755789805873,11.134506947767047,11.319079557715066,91.52594670135608,94.23490004923266,2.7655089521620972,0.007954136565657771,0.8281792166327281,-193.60920584796173,193.60920584796173,0.17501362347157823,1870.9122777137547,2102.809269862012,14.333333333333332,False,"SOC floor violated (min 0.008, unmet 194 Wh); did not refill (end SOC 0.828)"
6.0,0.36,1.6,0.34,0.6,0.5,0.216,1.741673575454751,0.9666943018190034,0.0,0.21482095591958011,0.5,5.210953008503842,-0.29923370425886353,2,mixed,False,26+26+14+9+9,5,84,14,35,0,19x10E,11.56999288652958,1.978800994865484,18.192835001302,0.3080999808857109,9.160389393262838,10.992467271915405,11.174685342608916,91.65287701344641,94.30129158532132,2.7055627638416597,0.005563928453889987,0.8043660159377702,-194.81978752254722,194.81978752254722,0.4897104842822521,1848.901545034769,2104.828986755533,14.5,False,"SOC floor violated (min 0.006, unmet 195 Wh); did not refill (end SOC 0.804)"
