span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,1.3,0.34,0.4,0.0,0.144,0.65,1.3,1.3,0.21885521885521889,0.7622593677977768,5.0570797408933945,0.2275978642405092,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-10L-V2-kv1100-6.7PG,26x15E,10.856410176908746,1.6524,21.78649237472767,0.5179051271452908,9.710329741553137,11.652395689863765,11.845553150244758,61.68802020045758,63.990767392957466,14.032254353828922,0.23334376879758206,0.9999999999999998,19.3199999999998,0.0,294.0776984798858,1804.8800796767978,1385.0751215309856,13.333333333333334,True,ok
6.0,0.36,1.3,0.34,0.4,0.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.8852044271199989,5.070154111258786,0.4777528826174191,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-10L-V2-kv1100-6.7PG,26x15E,10.974194048434672,1.6804799999999998,21.422450728363327,0.6267156108215878,9.680952579433944,11.617143095320733,11.809716186459983,62.94323320965432,65.23111943689855,13.84846866297906,0.2180736675312488,0.9999999999999998,17.459162835186323,0.0,307.8675968040468,1848.9015450347686,1415.041716788977,13.333333333333334,True,ok
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.78,1.56,1.56,0.21885521885521886,1.3665311455897433,5.010295239206739,0.7209274098527533,2,one_per_bay,True,24+17+17+12,4,70,24,17,12,A40-10L-V2-kv1100-6.7PG,22x12E,10.062687305535638,1.2953999999999999,23.351860429211058,0.9757213988462314,10.558530810948545,12.670236973138254,12.880266812606001,62.10132390441846,63.754702113790614,6.981442729797294,0.21288282474155515,0.9999999998152806,12.444808700342262,0.0,28.503237271436227,1540.751287528973,1387.2411188346614,13.833333333333332,True,ok
6.0,0.36,1.3,0.34,0.4,0.0,0.144,0.845,1.69,1.69,0.21885521885521889,0.943749693463914,5.076877460374528,0.572922336337581,2,one_per_bay,True,26+23+23+13,4,85,26,23,13,A40-10L-V2-kv1100-6.7PG,26x15E,11.033085984197635,1.6945200000000002,21.244954323348203,0.6790348859817393,9.66659672986931,11.599916075843172,11.792203601042097,63.59974194290989,65.87148672373284,13.758194708190317,0.21002473160356716,0.9999999999999997,9.683890729045867,0.0,314.1513707920961,1870.9122777137547,1430.6257509586248,13.333333333333334,True,ok
6.0,0.36,1.6,0.34,0.4,0.0,0.144,0.65,1.3,1.3,0.21885521885521889,0.9381653757511099,5.056996429560559,0.46799999010048987,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-10L-V2-kv1100-6.7PG,26x15E,11.079193321370285,1.6524,21.78649237472767,0.6374216949480503,9.809456063919482,11.771347276703379,11.966476553613244,63.592533933624146,66.04275529045074,13.824023036892779,0.20657789357390427,0.9999999999999997,6.354245192391514,0.0,246.55170539141272,1804.8800796767978,1432.3565088798014,13.333333333333334,True,ok
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.845,1.69,1.69,0.21885521885521889,1.4552459862500784,5.016368183702319,0.7864569516257518,2,one_per_bay,True,26+16+16+13,4,71,26,16,13,A40-10L-V2-kv1100-6.7PG,22x12E,10.117301350498602,1.3071000000000002,23.142835284216964,1.055983792815566,10.539654751975169,12.647585702370202,12.857240060087035,62.74772832085557,64.41857141632103,6.936154226379384,0.20492596719874323,0.9999999999623415,4.75848431398595,0.0,34.5439043693914,1562.7620202079593,1403.0716214290558,13.75,True,ok
6.0,0.3,1.3,0.34,0.6,0.0,0.18,0.65,1.3,1.3,0.21885521885521889,0.9402718117381532,5.000691145018949,0.3438661508367664,2,one_per_bay,True,24+24+20+10,4,78,20,24,10,A40-10L-V2-kv1100-6.7PG,26x15E,10.570602061216437,1.5179999999999998,23.715415019762847,0.6441051385834408,9.996832728729569,11.996199274475481,12.195055839919585,63.41142788371127,66.08762782941491,14.655356346464664,0.20455036183529396,0.9999999999999997,4.3956495328939535,0.0,161.16072312888258,1716.8371489608571,1429.9743686389663,13.5,True,ok
6.0,0.3,1.3,0.34,0.4,0.5,0.12,1.89,1.56,1.56,0.21885521885521886,0.9994199088448985,5.035401767186243,0.5234755908886559,2,one_per_bay,True,26+26+24+12,4,88,24,26,12,A40-10L-V2-kv1100-6.7PG,26x15E,10.849636075757749,1.6001999999999998,22.49718785151856,0.711059761387547,9.864359734493991,11.837231681392788,12.033453099749547,64.28349653201778,66.86257334894634,14.159882634158677,0.20349527141019688,0.9999999999999998,3.376432182250177,0.0,360.0294890372534,1936.9444757507106,1450.5289925504055,13.25,True,ok
5.5,0.3,1.3,0.34,0.4,0.0,0.12,0.65,1.3,1.3,0.21885521885521889,1.1795679291533359,4.998238865201287,0.5515344279959118,2,one_per_bay,True,20+18+18+10,4,66,20,18,10,A40-10L-V2-kv1100-6.7PG,22x12E,9.937459215609712,1.272,23.781446540880502,0.8082344348232678,10.588698274683578,12.706437929620293,12.917067858975436,60.69214385090202,62.30398528049951,7.084635015934983,0.22709147005471103,0.9741069922743508,-5.692645462977087,0.0,0.22438545651938982,1452.7083568130336,1352.9985069558882,13.833333333333332,False,infeasible
6.0,0.3,1.3,0.34,0.4,0.5,0.12,1.9225,1.69,1.69,0.21885521885521889,1.0759020188338344,5.0378937656525755,0.61019598735948,2,one_per_bay,True,26+26+26+13,4,91,26,26,13,A40-10L-V2-kv1100-6.7PG,26x15E,10.909811110720712,1.60605,22.41524236480807,0.778319666098801,9.873645584067544,11.848374700881052,12.044780832957,65.19177243783511,67.82701131287823,14.084291517498318,0.1938398297126148,0.9999999999999998,-5.950724497614122,0.0,403.157385633499,2002.976673787667,1473.1509596543465,13.166666666666668,False,"SOC floor violated (min 0.194, unmet 0 Wh)"
