span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,0.9,0.34,1.0,1.0,3.5,0.7,2.295,0.36,3.0,1.3,1.3,0.33230769230769225,0.5,4.082853617024368,-0.520198904594025,2,mixed,False,26+26+20+10+10,5,92,20,36,10,A40-12L-V4-kv410-direct,16x12E,11.631672126720108,2.16,16.666666666666664,0.2911511354737667,8.946331231363908,10.73559747763669,10.91355751260673,90.41055395932304,91.95222499895326,11.388583034675339,0.00998037653997786,0.9003024803218543,-183.5589562623814,160.52762909637926,0.18474343043462818,1936.294890373904,2065.013060246781,14.166666666666668,False,"SOC floor violated (min 0.010, unmet 161 Wh); did not refill (end SOC 0.900); FLAG 16x12E: shaft power table 34.7 W vs similarity 29.3 W (16%) at 2367 rpm, 10.74 m/s; FLAG 16x12E: shaft power table 35.4 W vs similarity 29.9 W (16%) at 2408 rpm, 10.91 m/s"
6.0,0.36,1.0,0.34,1.0,1.0,2.0,0.7,2.3339999999999996,0.36,3.0,1.56,1.56,0.2492307692307692,0.5,4.219117561283159,-0.20787978538085428,2,mixed,False,26+26+24+12+8,5,96,24,34,12,A40-12L-V4-kv410-direct,16x12E,11.6322335790278,2.16,16.666666666666664,0.3334529147982063,8.87302460280298,10.647629523363575,10.824131346040234,90.06522265688459,91.5819637390842,11.304840665848968,0.00992835566465557,0.9831269728248347,-183.60920842794272,148.712585570206,0.18909313719008952,2020.4816247379865,2056.732754587225,14.0,False,"SOC floor violated (min 0.010, unmet 149 Wh); FLAG 16x12E: shaft power table 34.5 W vs similarity 29.2 W (15%) at 2359 rpm, 10.65 m/s; FLAG 16x12E: shaft power table 35.2 W vs similarity 29.8 W (15%) at 2398 rpm, 10.82 m/s"
6.0,0.36,0.8,0.34,1.0,1.0,0.0,0.0,3.0,0.36,3.0,1.56,1.56,0.3115384615384615,0.5,5.38743959638817,-0.06340249096127382,2,mixed,False,26+26+24+12+8+8,6,104,24,34,12,A40-12L-V4-kv410-direct,MJ-21x14EL,11.772311353846153,2.16,16.666666666666664,0.31441860465116284,8.362146027172475,10.03457523260697,10.200914680693034,91.2697810461094,93.40754467095188,19.295951700502044,0.009910012373714139,0.9999999999999991,-183.62692804699216,153.14033217346065,120.10391298363216,2188.855093466153,2092.3868222612646,13.75,False,"SOC floor violated (min 0.010, unmet 153 Wh); FLAG MJ-21x14EL: shaft power table 37.7 W vs similarity 29.2 W (23%) at 1602 rpm, 10.03 m/s; FLAG MJ-21x14EL: shaft power table 37.7 W vs similarity 30.7 W (19%) at 1639 rpm, 10.20 m/s"
6.0,0.36,0.9,0.34,1.0,1.0,3.5,0.7,2.3339999999999996,0.36,3.0,1.56,1.56,0.2769230769230769,0.5,4.098142948504007,-0.2871095436880391,2,mixed,False,26+26+24+12+8,5,96,24,34,12,A40-12L-V4-kv410-direct,16x12E,11.629610588258569,2.16,16.666666666666664,0.3247161572052402,8.937196919532235,10.724636303438682,10.90241463907176,90.7419438835979,92.30750909217056,11.378182693581024,0.009670568337835372,0.9755380526909551,-183.85823098565106,158.02667940671296,0.12863102443289282,2020.4816247379865,2073.4623052920792,14.0,False,"SOC floor violated (min 0.010, unmet 158 Wh); FLAG 16x12E: shaft power table 34.8 W vs similarity 29.4 W (15%) at 2369 rpm, 10.72 m/s; FLAG 16x12E: shaft power table 35.5 W vs similarity 30.0 W (16%) at 2409 rpm, 10.90 m/s"
6.0,0.36,1.0,0.34,1.0,1.0,0.0,0.0,3.0,0.36,3.0,1.56,1.56,0.2492307692307692,0.5,5.387200084421331,0.052343329248202064,2,mixed,False,26+26+24+12+8,5,96,24,34,12,A40-12L-V4-kv410-direct,MJ-21x14EL,11.585713083076923,2.16,16.666666666666664,0.3334529147982063,8.295608768398488,9.954730522078185,10.119746413882684,87.55534277679887,89.77258017939302,19.487520410788242,0.00951374682324714,0.9999327794521435,-184.0097205687433,113.22999824295964,1.4837376109265001,2020.4816247379865,2003.6853704526768,13.916666666666668,False,"SOC floor violated (min 0.010, unmet 113 Wh); FLAG MJ-21x14EL: shaft power table 36.6 W vs similarity 27.6 W (24%) at 1580 rpm, 9.95 m/s; FLAG MJ-21x14EL: shaft power table 36.7 W vs similarity 28.9 W (21%) at 1615 rpm, 10.12 m/s"
6.0,0.36,1.0,0.34,1.0,1.0,2.0,0.35,1.4725000000000001,0.36,3.0,1.3,1.3,0.2990769230769231,0.5000000000000001,3.933721492607012,-0.4785789818600792,2,mixed,False,26+26+20+10+10,5,92,20,36,10,A40-12L-V4-kv410-direct,16x12E,11.630888963643184,2.16,16.666666666666664,0.3013454368617281,9.028612184268082,10.834334621121698,11.013931385257866,89.79046865186919,91.3117572393667,11.487886384071828,0.00950838095452406,0.9062354405748184,-184.01490399792976,151.37983852471615,0.23811574373350788,1936.294890373904,2050.0573594708703,14.083333333333334,False,"SOC floor violated (min 0.010, unmet 151 Wh); did not refill (end SOC 0.906); FLAG 16x12E: shaft power table 34.5 W vs similarity 29.0 W (16%) at 2370 rpm, 10.83 m/s; FLAG 16x12E: shaft power table 35.1 W vs similarity 29.5 W (16%) at 2411 rpm, 11.01 m/s"
6.0,0.36,1.0,0.34,1.0,1.0,2.0,0.7,2.295,0.36,3.0,1.3,1.3,0.2990769230769231,0.5000000000000001,4.210633246893846,-0.4156565448819727,2,mixed,False,26+26+20+10+10+10,6,102,20,36,10,A40-12L-V4-kv410-direct,16x12E,11.818888963643184,2.16,16.666666666666664,0.3013454368617281,8.948772739945689,10.738527287934826,10.916535889288264,91.18359795773041,92.74294624516585,11.206987088658144,0.009475681577049202,0.9999999999999633,-184.0464915965705,154.4272719833913,87.60292909579985,2146.7617262841127,2084.2597252411147,13.833333333333332,False,"SOC floor violated (min 0.009, unmet 154 Wh); FLAG 16x12E: shaft power table 35.0 W vs similarity 29.6 W (15%) at 2372 rpm, 10.74 m/s; FLAG 16x12E: shaft power table 35.7 W vs similarity 30.2 W (16%) at 2413 rpm, 10.92 m/s"
6.0,0.36,0.8,0.34,1.0,1.0,0.0,0.0,3.0,0.36,3.0,1.3,1.3,0.3738461538461538,0.5,5.387467990127604,-0.3188703256055585,2,mixed,False,26+26+20+10+10+10,6,102,20,36,10,A40-12L-V4-kv410-direct,MJ-21x14EL,11.794630584615383,2.16,16.666666666666664,0.27933884297520667,8.370069207401258,10.04408304888151,10.210580104526931,91.19008500452391,93.3323891641723,19.275599163451716,0.009398837901465881,0.999999999999921,-184.12072258718396,154.4926098436256,81.6114549245314,2146.7617262841127,2090.342132398332,13.833333333333332,False,"SOC floor violated (min 0.009, unmet 154 Wh); FLAG MJ-21x14EL: shaft power table 37.6 W vs similarity 29.2 W (22%) at 1602 rpm, 10.04 m/s; FLAG MJ-21x14EL: shaft power table 37.6 W vs similarity 30.7 W (18%) at 1640 rpm, 10.21 m/s"
6.0,0.36,1.0,0.34,1.0,1.0,3.5,0.7,2.3339999999999996,0.36,3.0,1.56,1.56,0.2492307692307692,0.5,4.098150185940968,-0.23490803690023077,2,mixed,False,26+26+24+12+8,5,96,24,34,12,A40-12L-V4-kv410-direct,16x12E,11.6322335790278,2.16,16.666666666666664,0.3334529147982063,8.938204729001946,10.725845674802335,10.903644057737912,90.10967785538183,91.64728678779557,11.380169497728765,0.009394086460156636,0.9819312699071429,-184.1253124794887,148.82916715384167,0.18364954979747594,2020.4816247379865,2058.008357853303,14.0,False,"SOC floor violated (min 0.009, unmet 149 Wh); FLAG 16x12E: shaft power table 34.6 W vs similarity 29.2 W (16%) at 2364 rpm, 10.73 m/s; FLAG 16x12E: shaft power table 35.3 W vs similarity 29.7 W (16%) at 2405 rpm, 10.90 m/s"
6.0,0.36,0.9,0.34,1.0,1.0,0.0,0.0,3.0,0.36,3.0,1.56,1.56,0.2769230769230769,0.5,5.387196690204089,0.0007055231101220638,2,mixed,False,26+26+24+12+8,5,96,24,34,12,A40-12L-V4-kv410-direct,MJ-21x14EL,11.583090092307692,2.16,16.666666666666664,0.3247161572052402,8.294669657582524,9.953603589099028,10.118600800151684,88.19034214584448,90.44494564709174,19.486982262892383,0.009305009610103237,0.9940563808822618,-184.21136071664029,121.94809902630318,0.2838446448561278,2020.4816247379865,2019.302130137855,13.916666666666668,False,"SOC floor violated (min 0.009, unmet 122 Wh); FLAG MJ-21x14EL: shaft power table 36.8 W vs similarity 27.9 W (24%) at 1583 rpm, 9.95 m/s; FLAG MJ-21x14EL: shaft power table 36.9 W vs similarity 29.2 W (21%) at 1618 rpm, 10.12 m/s"
