span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,soc_end,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason
6.0,0.36,0.9,0.34,0.4,0.0,0.0,0.0,3.0,0.144,0.65,1.3,1.3,0.21885521885521889,0.5277180238599993,5.0575325982058486,-0.340078813170968,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,MJ-21x14EL,10.26531416522559,1.6524,21.78649237472767,0.3585497034082783,8.92775538773915,10.71330646528698,10.890896990376872,76.1432427805174,78.17399874628728,23.49665987623833,0.034305153532148205,0.8666655320893886,-160.06122168794485,0.0,0.16587221697601842,1725.8280544636968,1727.9146160539335,13.916666666666668,False,"SOC floor violated (min 0.034, unmet 0 Wh); did not refill (end SOC 0.867); FLAG MJ-21x14EL: thrust table 1.86 N vs similarity 0.00 N (100%) at 1583 rpm, 10.71 m/s; FLAG MJ-21x14EL: thrust table 1.87 N vs similarity 0.00 N (100%) at 1623 rpm, 10.89 m/s"
6.0,0.36,0.8,0.34,0.4,0.0,0.0,0.0,3.0,0.144,0.65,1.3,1.3,0.23327999999999993,0.49999999999999994,5.057483074446951,-0.4750023226108333,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,MJ-21x14EL,10.231456876,1.6524,21.78649237472767,0.33416923285934247,8.9130203664145,10.695624439697399,10.87292185637867,76.38576981466873,78.4169725524673,23.539673882586026,0.03092041703077237,0.860817771368192,-163.3308771482739,0.0,0.14562439979435027,1725.8280544636968,1733.5705029300377,14.0,False,"SOC floor violated (min 0.031, unmet 0 Wh); did not refill (end SOC 0.861); FLAG MJ-21x14EL: thrust table 1.87 N vs similarity 0.00 N (100%) at 1583 rpm, 10.70 m/s; FLAG MJ-21x14EL: thrust table 1.88 N vs similarity 0.00 N (100%) at 1623 rpm, 10.87 m/s"
6.0,0.36,1.0,0.34,0.4,0.0,0.0,0.0,3.0,0.144,0.65,1.3,1.3,0.21885521885521889,0.5863533598444437,5.05769329476507,-0.1550312471067712,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,10.375949083576465,1.6524,21.78649237472767,0.3983885593425314,8.975736112625906,10.770883335151087,10.949428290750863,76.9046539067575,77.99486623180134,12.888078826028796,0.023383843986739747,0.8575349641238277,-170.6112067088094,0.0,0.18079992651651366,1725.8280544636968,1736.6138170126108,14.0,False,"SOC floor violated (min 0.023, unmet 0 Wh); did not refill (end SOC 0.858); FLAG 16x12E: shaft power table 28.8 W vs similarity 23.8 W (17%) at 2275 rpm, 10.77 m/s; FLAG 16x12E: shaft power table 29.4 W vs similarity 24.2 W (18%) at 2311 rpm, 10.95 m/s"
6.0,0.36,0.8,0.34,0.4,0.0,0.0,0.0,3.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.5447411859199993,5.070919598343975,-0.18106752925134284,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-12L-V4-kv410-direct,MJ-21x14EL,10.324770124751515,1.6804799999999998,21.422450728363327,0.3856711451209771,8.878452478227397,10.654142973872876,10.830752767613355,77.4481647056853,79.49362722866002,23.243414241291422,0.01873429241429259,0.8772523351496632,-175.10267352779337,0.0,0.21883908196121618,1767.9214216457387,1759.3810333764438,13.916666666666668,False,"SOC floor violated (min 0.019, unmet 0 Wh); did not refill (end SOC 0.877); FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1585 rpm, 10.65 m/s; FLAG MJ-21x14EL: thrust table 1.92 N vs similarity 0.00 N (100%) at 1625 rpm, 10.83 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,0.0,0.0,3.0,0.144,0.78,1.56,1.56,0.21885521885521886,0.6128338341599991,5.071005396323299,0.00957566818853195,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-12L-V4-kv410-direct,MJ-21x14EL,10.384033230351514,1.6804799999999998,21.422450728363327,0.43388003826109917,8.90389671509626,10.68467605811551,10.861791987518293,77.50041576186632,79.57469528238155,23.167250406896482,0.017969068273565588,0.8756589179258615,-175.84188004773566,0.0,0.21208341081775473,1767.9214216457387,1760.9256301166652,13.916666666666668,False,"SOC floor violated (min 0.018, unmet 0 Wh); did not refill (end SOC 0.876); FLAG MJ-21x14EL: thrust table 1.90 N vs similarity 0.00 N (100%) at 1588 rpm, 10.68 m/s; FLAG MJ-21x14EL: thrust table 1.91 N vs similarity 0.00 N (100%) at 1628 rpm, 10.86 m/s"
6.0,0.36,1.0,0.34,0.4,0.0,2.0,0.7,2.3339999999999996,0.144,0.78,1.56,1.56,0.21885521885521886,0.6809264823999991,4.575135792267121,0.07297980112595792,2,one_per_bay,True,24+24+24+12,4,84,24,24,12,A40-12L-V4-kv410-direct,16x12E,10.494364210782392,1.6804799999999998,21.422450728363327,0.4820889314012213,9.199139196703493,11.038967036044191,11.22195591615634,79.61957174680485,80.81503212199603,13.011882189687629,0.009998034055262433,0.8551098834111971,-183.5418991026165,22.05674163570165,0.10872200751654877,1767.9214216457387,1802.8243256752232,14.0,False,"SOC floor violated (min 0.010, unmet 22 Wh); did not refill (end SOC 0.855); FLAG 16x12E: shaft power table 30.2 W vs similarity 24.7 W (18%) at 2315 rpm, 11.04 m/s; FLAG 16x12E: shaft power table 30.6 W vs similarity 25.1 W (18%) at 2353 rpm, 11.22 m/s"
6.0,0.36,0.8,0.34,0.4,0.0,3.5,0.7,2.295,0.144,0.65,1.3,1.3,0.23327999999999993,0.49999999999999994,4.469742578089332,-0.5832757796627126,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,10.277977371950877,1.6524,21.78649237472767,0.33416923285934247,9.229399398113827,11.075279277736593,11.258870092469975,78.9309456235154,80.11631675172703,13.329650973716786,0.009937147020018916,0.822280794354828,-183.60071597866175,15.640570515150861,0.32210010447827975,1725.8280544636968,1786.097625319136,14.083333333333334,False,"SOC floor violated (min 0.010, unmet 16 Wh); did not refill (end SOC 0.822); FLAG 16x12E: shaft power table 29.9 W vs similarity 24.4 W (18%) at 2313 rpm, 11.08 m/s; FLAG 16x12E: shaft power table 30.3 W vs similarity 24.8 W (18%) at 2351 rpm, 11.26 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,2.0,0.0,0.65,0.144,0.65,1.3,1.3,0.21885521885521889,0.5277180238599993,4.384798975133829,-0.4629504832682496,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,10.311834661176466,1.6524,21.78649237472767,0.3585497034082783,9.29043596613594,11.148523159363128,11.3333281108749,79.48391655895126,80.71581214687811,13.36158421853738,0.009607269601680162,0.8159396829270347,-183.919377564777,23.194380269178218,0.26812977169298335,1725.8280544636968,1799.830295328436,14.083333333333334,False,"SOC floor violated (min 0.010, unmet 23 Wh); did not refill (end SOC 0.816); FLAG 16x12E: shaft power table 30.1 W vs similarity 24.6 W (18%) at 2323 rpm, 11.15 m/s; FLAG 16x12E: shaft power table 30.6 W vs similarity 25.0 W (18%) at 2361 rpm, 11.33 m/s"
6.0,0.36,0.8,0.34,0.4,0.0,2.0,0.0,0.65,0.144,0.65,1.3,1.3,0.23327999999999993,0.49999999999999994,4.384704693264231,-0.5989087701921014,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,10.277977371950877,1.6524,21.78649237472767,0.33416923285934247,9.27517158275219,11.130205899302627,11.314707212358533,79.7887941256837,81.02775481715528,13.383765472838657,0.009598721842424145,0.812803489492962,-183.9276347002183,27.525479752116148,0.24213454916988533,1725.8280544636968,1807.2174192068296,14.083333333333334,False,"SOC floor violated (min 0.010, unmet 28 Wh); did not refill (end SOC 0.813); FLAG 16x12E: shaft power table 30.2 W vs similarity 24.7 W (18%) at 2324 rpm, 11.13 m/s; FLAG 16x12E: shaft power table 30.7 W vs similarity 25.1 W (18%) at 2362 rpm, 11.31 m/s"
6.0,0.36,0.9,0.34,0.4,0.0,2.0,0.35,1.4725000000000001,0.144,0.65,1.3,1.3,0.21885521885521889,0.5277180238599993,4.506028892402773,-0.4408456675450916,2,one_per_bay,True,26+26+20+10,4,82,20,26,10,A40-12L-V4-kv410-direct,16x12E,10.311834661176466,1.6524,21.78649237472767,0.3585497034082783,9.225363739912947,11.070436487895536,11.253947025490056,78.7292810151174,79.90432872536104,13.281939578403383,0.009596432306833099,0.824064705955163,-183.92984639159923,12.457325443609076,0.3574314422059442,1725.8280544636968,1781.155300822728,14.083333333333334,False,"SOC floor violated (min 0.010, unmet 12 Wh); did not refill (end SOC 0.824); FLAG 16x12E: shaft power table 29.8 W vs similarity 24.3 W (18%) at 2311 rpm, 11.07 m/s; FLAG 16x12E: shaft power table 30.2 W vs similarity 24.7 W (18%) at 2349 rpm, 11.25 m/s"
