param,spearman_rho,p_value
drag,-0.542355230029755,5.589482201433254e-21
mass,-0.3806076905470358,3.004032737215543e-10
prop_thrust,0.3409075303273059,2.1889263831662958e-08
prop_power,-0.19426284618905923,0.0017914102290152443
pack_energy,0.10290255207141219,0.10043526566847813
irradiance,0.05583514534218356,0.3736352443941397
avionics_w,-0.04427142938887617,0.4806719505534376
array_eff,0.04150835431448843,0.5085042332482813
t_cell_k,-0.012183136873426412,0.846188851114265
t_cell_offset_c,-0.008824244678416113,0.8882651878723107
