param,side,value,margin_wh,delta_wh,soc_min,closed
irradiance,lo,0.97,-731.6903725442443,-25.507622057705248,0.009092727661248249,False
irradiance,hi,1.03,-701.4309772069591,4.751773279579879,0.0,False
t_cell_k,lo,0.9,-705.3731987085373,0.809551778001719,0.0,False
t_cell_k,hi,1.1,-706.992302264541,-0.8095517780019463,0.0,False
t_cell_offset_c,lo,-3.0,-704.3805011621256,1.802249324413424,0.0,False
t_cell_offset_c,hi,3.0,-707.9849998109529,-1.8022493244138786,0.0,False
array_eff,lo,0.97,-731.925952111643,-25.743201625104007,0.00943217455517575,False
array_eff,hi,1.03,-701.2265963216115,4.956154164927511,0.0,False
mass,lo,0.97,-863.9953827742933,-157.81263228775424,0.0,False
mass,hi,1.07,-870.1125565200238,-163.92980603348474,0.0,False
drag,lo,0.92,-559.9049719187352,146.2777785678038,0.006712836207803621,False
drag,hi,1.08,-869.5944883281484,-163.41173784160935,0.0,False
prop_thrust,lo,0.88,-812.8116466132022,-106.62889612666322,0.005816976281924527,False
prop_thrust,hi,0.9600000000000001,-629.2692601986236,76.91349028791547,0.000312997819954669,False
prop_power,lo,1.04,-668.0362981084314,38.1464523781076,0.0,False
prop_power,hi,1.12,-744.7196687284734,-38.53691824193436,0.0,False
avionics_w,lo,4.2,-700.5827504865392,5.599999999999795,0.00028938521689940433,False
avionics_w,hi,5.8,-732.9394673297486,-26.756716843209574,0.007174901870346539,False
pack_energy,lo,0.97,-748.2295175062915,-42.04676701975245,0.0067593339570872005,False
pack_energy,hi,1.03,-685.1593669766628,21.023383509876226,0.0008495330866562165,False
