name,d_in,pitch_in,map_p_bus,fit_rpm,map_ok,fit_ok,fit_p_bus
16x7E(3D),16.0,7.0,96.79151463789626,3704.9480388188413,True,True,196.21097781355135
16x8E,16.0,8.0,89.52956507076742,3327.186497864657,True,True,138.64202364034617
16x10E,16.0,10.0,77.47954667406896,5887.94267184003,True,True,1434.481607617686
16x12E,16.0,12.0,70.2227380797651,2432.7226799183672,True,True,77.14876059431238
17x7E,17.0,7.0,101.08518346449564,3469.9461768271785,True,True,181.91895917359872
17x8E,17.0,8.0,94.39941932753868,3219.590343696378,True,True,161.06064498352566
17x10E,17.0,10.0,79.36643934899016,5050.554134431175,True,True,1163.1520748519727
17x12E,17.0,12.0,71.36402208118083,2426.5579742030495,True,True,107.27726229179596
18x8E,18.0,8.0,101.07090139890471,3144.747288538664,True,True,205.6113924067023
18x10E,18.0,10.0,81.87388086864406,2676.648343530461,True,True,177.7791453613571
18x12E,18.0,12.0,73.56858323637174,3400.0493895415902,True,True,490.3894228064499
19x8E,19.0,8.0,100.93486382146902,3019.3157968152855,True,True,219.75659625942362
19x10E,19.0,10.0,84.73302648713471,2586.166909331395,True,True,211.7011860177726
19x12E,19.0,12.0,76.7031502255603,4958.267513128447,True,True,2203.880782225451
20x8E,20.0,8.0,109.20806798929816,2855.3440290142944,True,True,192.76052905626054
20x10E,20.0,10.0,89.8060095718571,2507.208457893046,True,True,162.4316921838308
20x11E,20.0,11.0,81.61924460481195,2359.0913222067966,True,True,203.382839370158
20x13E,20.0,13.0,80.81613371033987,4710.3541374720235,True,True,2538.500923930209
20x15E,20.0,15.0,71.5615671584156,1719.7771073396884,True,True,72.19736937723484
205x14E,20.5,14.0,73.44420251838856,2030.9012953812055,True,True,153.94555088376043
21x13E,21.0,13.0,77.74395204536128,4486.051559497166,True,True,2900.184617095528
22x10E,22.0,10.0,100.80464892728638,2412.7777563733644,True,True,238.8395634011305
22x12E,22.0,12.0,91.0072600864415,2110.3368105066293,True,True,235.31452699941258
24x12E,24.0,12.0,96.31477456566117,2012.8272468537762,True,True,201.76790447588806
25x125E,25.0,12.5,95.33259399633886,1918.6778178643258,True,True,214.32194862955635
26x13E,26.0,13.0,99.1384544461649,1833.1097652395674,True,True,228.1185934542654
26x15E,26.0,15.0,87.99632787777897,2401.8590709450127,True,True,1261.748290094365
27x13E,27.0,13.0,108.80248236289556,1804.892378565441,True,True,249.85541230127447
MJ-18x8E,18.0,8.0,95.2049428296571,3144.747288538664,True,True,205.6113924067023
MJ-18x8EL,18.0,8.0,93.52680740091722,3144.747288538664,True,True,205.6113924067023
MJ-18x10E,18.0,10.0,86.45892460589484,2676.648343530461,True,True,177.7791453613571
MJ-20x8E,20.0,8.0,109.74391872234375,2855.3440290142944,True,True,192.76052905626054
MJ-20x8EL,20.0,8.0,103.98547743116228,2855.3440290142944,True,True,192.76052905626054
MJ-20x10E,20.0,10.0,88.03647003313843,2507.208457893046,True,True,162.4316921838308
MJ-20x10EL,20.0,10.0,87.39672228588684,2507.208457893046,True,True,162.4316921838308
MJ-20x11E,20.0,11.0,84.24877331258439,2359.0913222067966,True,True,203.382839370158
MJ-20x11EW,20.0,11.0,79.0158052766187,2359.0913222067966,True,True,203.382839370158
MJ-20x11EWL,20.0,11.0,79.04694134864073,2359.0913222067966,True,True,203.382839370158
MJ-20x13E,20.0,13.0,77.43422590387983,4710.3541374720235,True,True,2538.500923930209
MJ-20x13EL,20.0,13.0,78.80206711684372,4710.3541374720235,True,True,2538.500923930209
MJ-20p5x12EW,20.5,12.0,85.21692904646781,3824.5729521649746,True,True,1390.4163006926867
MJ-20p5x12ELW,20.5,12.0,82.28143516709484,3824.5729521649746,True,True,1390.4163006926867
MJ-21x10EL,21.0,10.0,93.22635935597758,2453.9307678554605,True,True,187.36131291075404
MJ-21x13E,21.0,13.0,84.91746081078772,4486.051559497166,True,True,2900.184617095528
MJ-21x13EL,21.0,13.0,81.03608006992533,4486.051559497166,True,True,2900.184617095528
MJ-21x13p5EL,21.0,13.5,77.08531607897758,4486.051559497166,True,True,2923.8013183233343
MJ-21x14EL,21.0,14.0,73.68460004043781,2914.328048178506,True,True,714.4797546653682
MJ-22x12EW,22.0,12.0,91.20876906688979,2110.3368105066293,True,True,235.31452699941258
MJ-24x10EL,24.0,10.0,111.38734617910059,2379.453357511912,True,True,345.21954333575144
MJ-26x15E,26.0,15.0,88.72247056863966,2401.8590709450127,True,True,1261.748290094365
MJ-26x15EL,26.0,15.0,81.07942245264377,2401.8590709450127,True,True,1261.748290094365
