span_m,chord_m,tail_arm_m,vstab_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,cn_r_control,izz_kgm2,yaw_rate_deg_s,yaw_rate_max_deg_s,yaw_rate_level_deg_s,yaw_correct_s,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,rudder_span_m,rudder_installed_fraction,rudder_required_fraction,rudder_installed_chord_m,rudder_required_chord_m,rudder_installed_area_m2,rudder_required_area_m2,rudder_available_moment_nm,rudder_required_moment_nm,rudder_sideslip_margin,rudder_rate_margin,rudder_sizing_ok,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,morning_soc,next_morning_soc,morning_soc_change,morning_charge_hour,objective_soc,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,aft_boom_length_m,fuselage_length_m,packing_ok,optimizer_score
6.0,0.3906037407627227,2.0,2.2573777698151645,0.4,1.0,1.0,0.0,0.0,3.0,0.3906037407627227,3.0,2.21,2.21,0.22551517487583275,0.5,0.03,1.3399999999999994,1.6200000000000006,36.30635006275187,36.30635006275187,0.0,0.07270542998307808,-0.0547078737962178,-0.07209957298499874,18.142440559445873,39.725830847326115,39.725830847326115,16.810329397141654,0.5608972260189188,4.052833858077481,-0.3081177667322679,2,one_per_bay,True,51+42+42,3,135,51,42,0,A40-12L-V4-kv410-direct,MJ-20x11EWL,11.18997586177155,2.343622444576336,15.360835992722297,0.3010841837581474,0.5294483319807256,0.3,0.0998237790382175,0.10588966639614512,0.035234355535864514,0.056063107247434525,0.018654770766879315,11.924894535949447,6.8787721289469115,0.7335789458365236,6.945166169465225,True,8.299006673059957,10.788708674977944,10.967549114653528,89.36520814279771,90.7957145511687,8.970475314393022,0.28067720889238146,0.28067720889238146,0.28067720889238146,0.0,7.416666666666667,0.28067720889238146,0.28067720889238146,0.28067720889238146,0.0,118.48102265377776,0.0,874.7354714332002,3048.3154552181413,2040.5005659192325,13.0,True,ok,2.522101935805527,0.0,1.0906037407627227,True,-28.067720889238146
6.0,0.3906037407627227,2.0,2.2573777698151645,0.4,1.0,1.0,0.0,0.0,3.0,0.3906037407627227,3.0,2.21,2.21,0.22551517487583275,0.5,0.03,1.3399999999999994,1.6200000000000006,36.39274669714813,36.39274669714813,0.0,0.07270542998307808,-0.0547078737962178,-0.07204118780777119,18.176365224260554,39.85263675169368,39.85263675169368,16.882296459952457,0.5600024933689803,4.052985648201302,-0.3078947409821009,2,one_per_bay,True,51+42+42,3,135,51,42,0,A40-12L-V4-kv410-direct,MJ-20x11EW,11.243295820916831,2.343622444576336,15.360835992722297,0.3010841837581474,0.5294483319807256,0.3,0.09966484402099678,0.10588966639614512,0.03517825694935729,0.056063107247434525,0.018625069463826586,11.981716364461233,6.906044984817784,0.734960659943829,6.9705273503387355,True,8.318755456513683,10.814382093467788,10.993648111921058,89.69431885681433,91.07997913788553,9.030327162074581,0.277742310988368,0.2777423109883687,0.277742310988368,-7.216449660063518e-16,7.416666666666667,0.277742310988368,0.277742310988368,0.2777423109883687,-1.059794144334328e-12,114.17088711703906,0.0,867.2505715451063,3048.3154552181413,2047.9059156553135,13.0,True,ok,2.522101935805527,0.0,1.0906037407627227,True,-27.7742310988368
6.0,0.3904866584643516,2.0,2.257315070953897,0.4,1.0,1.0,0.0,0.0,3.0,0.3904866584643516,3.0,2.21,2.21,0.22544757737935084,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.379605656750414,36.379605656750414,0.0,0.07270542998307807,-0.05470635428032849,-0.07205179026150949,18.165664764883314,39.83238416507431,39.83238416507431,16.869890272398408,0.560138197890196,4.052639943487925,-0.30850305087397767,2,one_per_bay,True,51+42+42,3,135,51,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.231809902952776,2.3429199507861096,15.365441737743144,0.3010976932541132,0.5293763275472645,0.3,0.09969807171860304,0.1058752655094529,0.03518519937995858,0.056047859233485736,0.018626211631780763,11.969476091375581,6.9001398587567895,0.7346715191845608,6.9664768330148625,True,8.315751640879142,10.810477133142886,10.989678420510863,89.8475001731387,91.0642033507708,8.989557947465677,0.27637625551514056,0.27637625551514056,0.27637625551514056,0.0,7.416666666666667,0.27637625551514056,0.27637625551514056,0.27637625551514056,0.0,112.16472389334999,0.0,865.3907879286154,3048.3154552181413,2049.723739109289,13.0,True,ok,2.5220032347275287,0.0,1.0904866584643516,True,-27.637625551514056
6.0,0.3906037407627227,2.0,2.2573777698151645,0.4,1.0,1.0,0.0,0.0,3.0,0.3906037407627227,3.0,2.21,2.21,0.22551517487583275,0.5,0.03,1.3399999999999994,1.6200000000000006,36.37604083586086,36.37604083586086,0.0,0.07270542998307808,-0.0547078737962178,-0.07205248842863192,18.169799181065528,39.82809508189907,39.82809508189907,16.86835798113331,0.5601751215874757,4.052956325819728,-0.3079378244580384,2,one_per_bay,True,51+42+42,3,135,51,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.232975861771552,2.343622444576336,15.360835992722297,0.3010841837581474,0.5294483319807256,0.3,0.09969560334270398,0.10588966639614512,0.03518911393040445,0.056063107247434525,0.01863081767433235,11.970718626312111,6.900770724841326,0.7346929935260762,6.965619016379814,True,8.314936784186044,10.809417819441856,10.988601546957796,89.86082656149831,91.0775262738562,8.987796825538592,0.2762574110407632,0.27625741104076385,0.2762574110407632,-6.661338147750939e-16,7.416666666666667,0.2762574110407632,0.2762574110407632,0.27625741104076385,-9.78271517847072e-13,111.99019114668833,0.0,865.0674833975738,3048.3154552181413,2050.0435343119084,13.0,True,ok,2.522101935805527,0.0,1.0906037407627227,True,-27.62574110407632
6.0,0.3922245449922309,2.0,2.258245497172508,0.3912836096227177,1.0,1.0,0.0,0.0,3.0,0.3922245449922309,3.0,2.207924316557003,2.207924316557003,0.226450946634043,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.28810794038455,36.28810794038455,0.0,0.07270542998307807,-0.05472890329309237,-0.07208843313910376,18.149115126491278,39.712006366520164,39.712006366520164,16.81490596494028,0.5602071641087482,4.057267580246696,-0.30021390489899047,2,one_per_bay,True,48+42+42,3,132,48,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.225119866724613,2.3533472699533853,15.297359832793857,0.30089716788551185,0.5304437232131808,0.3,0.09973292877533771,0.10608874464263614,0.03526847071103007,0.056274108699252305,0.01870793891599381,11.962346676848865,6.897235318969738,0.7343683553826781,6.942401273304034,True,8.294836837893504,10.783287889261556,10.962038470574095,89.83118036755569,91.03748337746389,8.975427638932379,0.2748411973481885,0.2748411973481885,0.2748411973481885,0.0,7.416666666666667,0.2748411973481885,0.2748411973481885,0.2748411973481885,0.0,109.91036651100521,0.0,798.3295867821746,2980.575111768847,2049.217661930321,13.0,True,ok,2.5234673587790986,0.0,1.0922245449922308,True,-27.48411973481885
6.0,0.3922245449922309,2.0,2.258245497172508,0.3912836096227177,1.0,1.0,0.0,0.0,3.0,0.3922245449922309,3.0,2.202924316557003,2.202924316557003,0.226450946634043,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.28810794038455,36.28810794038455,0.0,0.07270542998307807,-0.05472890329309237,-0.07208843313910376,18.149115126491278,39.712006366520164,39.712006366520164,16.81490596494028,0.5602071641087482,4.057267580246696,-0.30021390489899047,2,one_per_bay,True,48+42+42,3,132,48,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.225119866724613,2.3533472699533853,15.297359832793857,0.30089716788551185,0.5304437232131808,0.3,0.09973292877533771,0.10608874464263614,0.03526847071103007,0.056274108699252305,0.01870793891599381,11.962346676848865,6.897235318969738,0.7343683553826781,6.942401273304034,True,8.294836837893504,10.783287889261556,10.962038470574095,89.83118036755569,91.03748337746389,8.975427638932379,0.2748411973481885,0.2748411973481885,0.2748411973481885,0.0,7.416666666666667,0.2748411973481885,0.2748411973481885,0.2748411973481885,0.0,109.91036651100521,0.0,798.3295867821746,2980.575111768847,2049.217661930321,13.0,True,ok,2.5234673587790986,0.0,1.0922245449922308,True,-27.48411973481885
6.0,0.3921150385117938,2.0,2.258186884418725,0.4,1.0,1.0,0.0,0.0,3.0,0.3921150385117938,3.0,2.21,2.21,0.2263877230380846,0.5,0.030000000000000002,1.3399999999999994,1.6200000000000006,36.33019074243715,36.33019074243715,0.0,0.0727054299830781,-0.054727482804603614,-0.07206150310523309,18.22318431041558,39.77291776048467,39.77291776048467,16.848654689434944,0.5606510309001024,4.0570399078627855,-0.3006422953747676,2,one_per_bay,True,51+42+42,3,135,51,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.248028934626987,2.352690231070763,15.301631946512389,0.3009098032486392,0.5303765528722725,0.3,0.09966372554431599,0.10607531057445449,0.03523953546706837,0.056259857567334884,0.01869022334584391,11.986760332608931,6.908913469440218,0.7349703952190525,6.954583552096933,True,8.304456242059773,10.795793114677705,10.974750990494067,90.03342271807816,91.25010843787055,8.965126257907826,0.27471818585843616,0.27471818585843616,0.27471818585843616,0.0,7.416666666666667,0.27471818585843616,0.27471818585843616,0.27471818585843616,0.0,109.7297141643993,0.0,860.878417381445,3048.3154552181413,2054.1856881515955,13.0,True,ok,2.5233751608548616,0.0,1.0921150385117937,True,-27.471818585843614
6.0,0.3922245449922309,2.0,2.258245497172508,0.3912836096227177,1.0,1.0,0.0,0.0,3.0,0.3922245449922309,3.0,2.21,2.21,0.226450946634043,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.32688033571697,36.32688033571697,0.0,0.07270542998307807,-0.05472890329309237,-0.0720621564899122,18.227053827144115,39.768933065914695,39.768933065914695,16.84723244250505,0.5606854641108504,4.05733577828823,-0.30011370128238,2,one_per_bay,True,51+42+42,3,135,51,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.249119866724614,2.3533472699533853,15.297359832793857,0.30089716788551185,0.5304437232131808,0.3,0.09966141457922822,0.10608874464263614,0.03524318120673213,0.056274108699252305,0.01869452425717579,11.987922913330348,6.909503447337477,0.7349905104902725,6.953786613182938,True,8.30369954006649,10.794809402086436,10.973750971262437,90.04597047319808,91.26265738858487,8.963488036747458,0.27460628290024897,0.27460628290024897,0.27460628290024897,0.0,7.416666666666667,0.27460628290024897,0.27460628290024897,0.27460628290024897,0.0,109.56537559708858,0.0,860.5737419739006,3048.3154552181413,2054.4868474260247,13.0,True,ok,2.5234673587790986,0.0,1.0922245449922308,True,-27.460628290024896
6.0,0.39248242932081256,2.0,2.258383520628479,0.39054836813021376,1.0,1.0,0.0,0.0,3.0,0.39248242932081256,3.0,2.203979978334109,2.203979978334109,0.2265998362205694,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.28033549307416,36.28033549307416,0.0,0.07270542998307807,-0.0547322483113304,-0.07208997138305075,18.158228179707766,39.70265337731801,39.70265337731801,16.811570806620292,0.560288577787905,4.057964350711231,-0.2989690752005125,2,one_per_bay,True,48+42+42,3,132,48,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.22768908861835,2.3548945759248756,15.287308556418557,0.3008674120014446,0.5306018608096933,0.3,0.09972748210640946,0.10612037216193869,0.03527705838635084,0.05630766693894183,0.018718072823689952,11.96508463629585,6.898625584840875,0.7344157164563438,6.940530675463603,True,8.293060190227642,10.780978247295936,10.959690542526507,89.86073994984427,91.06704870371803,8.971564226197103,0.2745759011336752,0.27457590113367575,0.2745759011336752,-5.551115123125783e-16,7.416666666666667,0.2745759011336752,0.2745759011336752,0.27457590113367575,-8.1522626487256e-13,109.52075750948852,0.0,797.6131500656628,2980.575111768847,2049.927155088881,13.0,True,ok,2.523684451033325,0.0,1.0924824293208126,True,-27.45759011336752
6.0,0.39248242932081256,2.0,2.258383520628479,0.39054836813021376,1.0,1.0,0.0,0.0,3.0,0.39248242932081256,3.0,2.1989799783341093,2.1989799783341093,0.2265998362205694,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.28033549307416,36.28033549307416,0.0,0.07270542998307807,-0.0547322483113304,-0.07208997138305075,18.158228179707766,39.70265337731801,39.70265337731801,16.811570806620292,0.560288577787905,4.057964350711231,-0.2989690752005125,2,one_per_bay,True,48+42+42,3,132,48,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.22768908861835,2.3548945759248756,15.287308556418557,0.3008674120014446,0.5306018608096933,0.3,0.09972748210640946,0.10612037216193869,0.03527705838635084,0.05630766693894183,0.018718072823689952,11.96508463629585,6.898625584840875,0.7344157164563438,6.940530675463603,True,8.293060190227642,10.780978247295936,10.959690542526507,89.86073994984427,91.06704870371803,8.971564226197103,0.2745759011336752,0.27457590113367575,0.2745759011336752,-5.551115123125783e-16,7.416666666666667,0.2745759011336752,0.2745759011336752,0.27457590113367575,-8.1522626487256e-13,109.52075750948852,0.0,797.6131500656628,2980.575111768847,2049.927155088881,13.0,True,ok,2.523684451033325,0.0,1.0924824293208126,True,-27.45759011336752
6.0,0.39248242932081256,2.0,2.258383520628479,0.39054836813021376,1.0,1.0,0.0,0.0,3.0,0.39248242932081256,3.0,2.208979978334109,2.208979978334109,0.2265998362205694,0.5,0.029999999999999995,1.3399999999999994,1.6200000000000006,36.28033549307416,36.28033549307416,0.0,0.07270542998307807,-0.0547322483113304,-0.07208997138305075,18.158228179707766,39.70265337731801,39.70265337731801,16.811570806620292,0.560288577787905,4.057964350711231,-0.2989690752005125,2,one_per_bay,True,48+42+42,3,132,48,42,0,A40-12L-V4-kv410-direct,MJ-20x13E,11.22768908861835,2.3548945759248756,15.287308556418557,0.3008674120014446,0.5306018608096933,0.3,0.09972748210640946,0.10612037216193869,0.03527705838635084,0.05630766693894183,0.018718072823689952,11.96508463629585,6.898625584840875,0.7344157164563438,6.940530675463603,True,8.293060190227642,10.780978247295936,10.959690542526507,89.86073994984427,91.06704870371803,8.971564226197103,0.2745759011336752,0.27457590113367575,0.2745759011336752,-5.551115123125783e-16,7.416666666666667,0.2745759011336752,0.2745759011336752,0.27457590113367575,-8.1522626487256e-13,109.52075750948852,0.0,797.6131500656628,2980.575111768847,2049.927155088881,13.0,True,ok,2.523684451033325,0.0,1.0924824293208126,True,-27.45759011336752
