span_m,chord_m,tail_arm_m,elevator_frac,taper_ratio,taper_start_frac,washout_tip_deg,washout_start_frac,y_washout_m,tip_chord_m,y_taper_m,boom_spacing_m,boom_spacing_set_m,hstab_chord_m,hstab_span_each_m,tail_volume_h,tail_volume_v,aileron_y_inner_m,aileron_span_each_m,roll_rate_deg_s,roll_aileron_deg_s,roll_elevon_deg_s,cn_beta,cn_r,incidence_wing_deg,incidence_hstab_deg,n_packs,cells_per_string,one_string_per_bay,string_plan,n_strings,n_cells,inboard_cells,outboard_cells,hstab_cells,motor,prop,mass_kg,wing_area_m2,aspect_ratio,static_margin,v_stall,v_night,v_day,p_night_w,p_day_w,climb_ms,soc_min,morning_soc,next_morning_soc,morning_soc_change,morning_charge_hour,objective_soc,soc_end,soc_start,cycle_wh,margin_wh,unmet_wh,spilled_wh,solar_wh,propulsion_wh,battery_night_h,closed,reason,boom_length_m,fuselage_length_m,packing_ok,optimizer_score
6.0,0.3904266734809481,1.1505560862700348,0.2640832810027739,0.4343928633541128,0.1813756770684034,0.0,0.4841851900112699,3.0,0.16959856062321033,1.4487069080446244,2.21,2.21,0.09864107536338017,0.44388483913521076,0.1444442804081018,0.004664596924546478,1.6449398774771762,1.3150601225228238,35.24092353893806,33.60738160025776,1.6335419386803047,0.010254171151766422,-0.005620183993106877,3.828508921673955,-5.2446015881688925,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,16x12E,10.135216786736905,1.999990914899938,18.000081766271986,0.0802804173290764,8.549837746016838,11.114789069821889,11.299034823788583,81.56436039843015,82.94165825303878,12.384409108773344,0.3144745322886747,0.3144745322886748,0.3144745322886747,-5.551115123125783e-17,7.75,0.3144745322886747,0.3144745322886747,0.3144745322886748,-8.043565813409259e-14,165.87359728628965,0.0,122.16039410440305,2099.9506469280504,1851.891502214507,13.583333333333332,True,"FLAG 16x12E: shaft power table 30.8 W vs similarity 25.6 W (17%) at 2391 rpm, 11.11 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.1 W (16%) at 2431 rpm, 11.30 m/s",0.9213023993044342,1.090426673480948,True,-31.447453228867474
6.0,0.3917265350365787,1.4216535918474458,0.260961956386551,0.4199017025311533,0.1190656290519902,0.0,0.0043167266288938,3.0,0.16448663898848886,1.3306293670535214,2.21,2.21,0.08752043092802402,0.39384193917610805,0.14392293252250532,0.004604073570518766,1.5783309590466668,1.3816690409533332,36.413927494372864,35.0982892302126,1.3156382641602644,0.008644251740281961,-0.006854324473058323,3.8170614360544786,-5.390393038152749,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.194857479554123,1.9710116011229806,18.26473267812785,0.08152772100819526,8.637764363538556,11.229093672600124,11.415234211756932,81.21109303975895,82.59514567561087,12.429427485222629,0.3141417934756787,0.3141417934962786,0.3141417934756787,-2.0599855155012392e-11,7.75,0.3141417934756787,0.3141417934756787,0.3141417934962786,-2.9849190119612956e-08,165.39145874625845,0.0,40.790890575366156,2009.6301889956608,1843.2527724717002,13.75,True,"FLAG 16x12E: shaft power table 30.6 W vs similarity 25.4 W (17%) at 2397 rpm, 11.23 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 25.8 W (17%) at 2437 rpm, 11.42 m/s",1.181939985279202,1.0917265350365786,True,-31.414179347567874
6.0,0.3947221384483133,1.3519073189335806,0.2873945741120729,0.4204616715823056,0.1742234319067415,0.0,0.0,3.0,0.16596553014252005,1.4351534034632751,2.21,2.21,0.09166304448537428,0.4124837001841843,0.14463181189684074,0.004708467386476626,1.6367419922716313,1.3232580077283687,35.372294753219954,33.88999148270114,1.482303270518814,0.00938563015019453,-0.006665843356875255,3.833329454825072,-5.327285722633824,3,one_per_bay,True,51+21+21,3,93,51,21,0,A40-12L-V4-kv410-direct,16x12E,10.24859585722168,2.0103638307472744,17.90720637200203,0.0818138305966081,8.575317642525532,11.147912935283191,11.332707771335734,81.65146025980448,83.043843152546,12.280120905623559,0.31364857625566306,0.31364857625566306,0.31364857625566306,0.0,7.75,0.31364857625566306,0.31364857625566306,0.31364857625566306,0.0,164.67678699445577,0.0,119.90648781665944,2099.9506469280504,1854.1390347013669,13.583333333333332,True,"FLAG 16x12E: shaft power table 30.8 W vs similarity 25.6 W (17%) at 2394 rpm, 11.15 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.1 W (16%) at 2435 rpm, 11.33 m/s",1.1138305671556052,1.0947221384483132,True,-31.364857625566305
6.0,0.3986874005164305,1.2651443771099833,0.2810772925584968,0.4,0.1259431480969815,0.0,0.5420744850847524,3.0,0.1594749602065722,1.34366226564378,2.21,2.21,0.09427482458129309,0.42423671061581886,0.1443705954864763,0.0046947214722245206,1.5839516822720676,1.3760483177279323,36.36056686667562,34.78496713228165,1.5755997343939714,0.00971920982829982,-0.006219830350323996,3.8297624156466314,-5.2479464509449585,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.149737541070188,1.9959078116859295,18.03690520635372,0.08025091264527258,8.564707395004872,11.134119613506334,11.318685802757347,81.2699228229394,82.64406472129745,12.388100042374193,0.31358111966923286,0.313581119694539,0.31358111966923286,-2.5306146067549662e-11,7.75,0.31358111966923286,0.31358111966923286,0.313581119694539,-3.666860565187946e-08,164.57904240071838,0.0,39.47637251634257,2009.6301889956608,1844.5631022087082,13.75,True,"FLAG 16x12E: shaft power table 30.6 W vs similarity 25.5 W (17%) at 2390 rpm, 11.13 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 25.9 W (17%) at 2431 rpm, 11.32 m/s",1.0249631621574133,1.0986874005164304,True,-31.358111966923286
6.0,0.3919532067297231,1.4559783288841142,0.2650479192167933,0.4199017025311533,0.1190656290519902,0.0,0.0043167266288938,3.0,0.16458181881835582,1.3306293670535214,2.21,2.21,0.08653881901566639,0.38942468557049875,0.1439433797459636,0.004607392189692627,1.579435557935343,1.380564442064657,36.39042452205551,35.093924714120995,1.29649980793452,0.008519078910063007,-0.007024876775781393,3.817592910282624,-5.402998527366888,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.214189324584007,1.9721521226268202,18.254169943061786,0.08174586625650748,8.64344970531216,11.236484616905807,11.422747673017064,81.27465963919887,82.65889405499527,12.41293973944457,0.3135359756144131,0.3135359756404622,0.3135359756144131,-2.6049107315628817e-11,7.75,0.3135359756144131,0.3135359756144131,0.3135359756404622,-3.7745156500346155e-08,164.51362866528456,0.0,39.259222194359964,2009.6301889956608,1844.7802341026854,13.75,True,"FLAG 16x12E: shaft power table 30.6 W vs similarity 25.4 W (17%) at 2398 rpm, 11.24 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 25.9 W (17%) at 2439 rpm, 11.42 m/s",1.2153518210054743,1.091953206729723,True,-31.35359756144131
6.0,0.3904266734809481,1.3887631818175812,0.2640832810027739,0.4343928633541128,0.1725225603155096,0.0,0.3412234776386126,3.0,0.16959856062321033,1.4319302517978907,2.21,2.21,0.08961176846339837,0.4032529580852927,0.14437742007070634,0.0046553704865555864,1.6380719390937788,1.3219280609062212,35.246891167968336,33.889616253489216,1.3572749144791236,0.009000826010706455,-0.0067703490739373555,3.8273053599387863,-5.385243426138824,3,one_per_bay,True,51+20+20,3,91,51,20,0,A40-12L-V4-kv410-direct,16x12E,10.232170087395037,1.996286157560909,18.0334867642349,0.08220166061864564,8.598601871404385,11.178182432825702,11.363479035161156,81.47291428914241,82.86975554355394,12.331350224735607,0.31350822141125306,0.3135082214112838,0.31350822141125306,-3.0753177782116836e-14,7.75,0.31350822141125306,0.31350822141125306,0.3135082214112838,-4.4561354606287296e-11,164.47341282490567,0.0,79.2495642603842,2054.790417961856,1849.7839692349871,13.666666666666666,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.5 W (17%) at 2395 rpm, 11.18 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 26.0 W (17%) at 2436 rpm, 11.36 m/s",1.1526053493841564,1.090426673480948,True,-31.350822141125306
6.0,0.40888710632007463,1.3839640421942176,0.27509898866959726,0.4,0.029130259663941404,0.0,0.1368767599232172,3.0,0.16355484252802988,1.160201842063169,2.21,2.21,0.0906125303224274,0.40775638645092327,0.14447985629311752,0.004730036687405343,1.556737513786643,1.403262486213357,36.13334409579691,34.70534849575905,1.427995600037858,0.009287507202237961,-0.006855165336009179,3.830835538800783,-5.254851075183149,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.213413943696974,2.001960790913371,17.982370165988826,0.08056273013541805,8.578533399643117,11.152093419536053,11.336957553932294,81.29988989286704,82.6818788312768,12.328782822122179,0.31329551934090893,0.31329551936904354,0.31329551934090893,-2.8134605756235942e-11,7.75,0.31329551934090893,0.31329551934090893,0.31329551936904354,-4.076704374078588e-08,164.16520752497703,0.0,38.67479786299235,2009.6301889956608,1845.3627440475102,13.75,True,"FLAG 16x12E: shaft power table 30.6 W vs similarity 25.5 W (17%) at 2392 rpm, 11.15 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 25.9 W (17%) at 2432 rpm, 11.34 m/s",1.131429964282959,1.1088871063200747,True,-31.329551934090894
6.0,0.3904266734809481,1.413736370078898,0.2763347629602983,0.4343928633541128,0.1684316393547964,0.0,0.4841851900112699,3.0,0.16959856062321033,1.4241779565773391,2.21,2.21,0.08873795141757714,0.39932078137909716,0.1443465456010433,0.004651101076172456,1.6348983456714619,1.325101654328538,35.32659537911716,33.96321579333013,1.3633795857870294,0.008876790284499605,-0.006885774981869377,3.8266405207228154,-5.397015591220764,3,one_per_bay,True,51+20+20,3,91,51,20,0,A40-12L-V4-kv410-direct,16x12E,10.24240455246733,1.9945742328370386,18.048964740106157,0.08232109788282439,8.606592165463642,11.188569815102735,11.374038605238365,81.49571166461267,82.8950278480992,12.329317017569021,0.3132908089186913,0.3132908089187299,0.3132908089186913,-3.858025010572419e-14,7.75,0.3132908089186913,0.3132908089186913,0.3132908089187299,-5.590278240319435e-11,164.1583821231837,0.0,78.67583588658928,2054.790417961856,1850.3566805133914,13.666666666666666,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.5 W (17%) at 2396 rpm, 11.19 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.0 W (17%) at 2437 rpm, 11.37 m/s",1.1768619369823974,1.090426673480948,True,-31.329080891869133
6.0,0.4044802311157542,1.3121326183042756,0.2824741024510657,0.4199017025311533,0.0825103065231419,0.0,0.4480989104085905,3.0,0.16984193768569955,1.2613570308613538,2.21,2.21,0.09365608509129987,0.4214523829108494,0.14478703169185797,0.004750588391880488,1.6119390502614346,1.3480609497385654,35.11445520663049,33.60102539831764,1.5134298083128495,0.009732813950512925,-0.006527603294445909,3.837004453630728,-5.222426490662317,3,one_per_bay,True,51+20+20,3,91,51,20,0,A40-12L-V4-kv410-direct,16x12E,10.220432439455672,2.01892916753167,17.831234784731638,0.08058109123782814,8.54534218213915,11.108944836780895,11.293093713054615,81.5062989103777,82.88004646907551,12.275618105450286,0.3131913787029936,0.3131913787030307,0.3131913787029936,-3.7136960173711486e-14,7.75,0.3131913787029936,0.3131913787029936,0.3131913787030307,-5.3811455291707944e-11,164.01430774063766,0.0,78.68440689868157,2054.790417961856,1850.3465652889531,13.666666666666666,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.6 W (17%) at 2390 rpm, 11.11 m/s; FLAG 16x12E: shaft power table 31.2 W vs similarity 26.1 W (16%) at 2431 rpm, 11.29 m/s",1.0664837984657898,1.1044802311157542,True,-31.319137870299357
6.0,0.415492161919047,1.3301269260007704,0.2910006091279988,0.4,0.0,0.0,0.4150887339593447,3.0,0.1661968647676188,1.105,2.21,2.21,0.09344011285456473,0.4204805078455412,0.14481623085364442,0.004789734521278733,1.5669623161912516,1.3930376838087484,35.63803699333804,34.0999729729284,1.53806402040964,0.00977670381079087,-0.0066716483230953244,3.8385277036164656,-5.204304398618655,3,one_per_bay,True,51+19+19,3,89,51,19,0,A40-12L-V4-kv410-direct,16x12E,10.210635380322978,2.0205383834123256,17.81703346768522,0.08040109848763317,8.53784359469389,11.099196673102057,11.28318395766625,81.35494483927967,82.72027105686725,12.278495772383637,0.31277081807534396,0.3127708181141714,0.31277081807534396,-3.882744126215698e-11,7.75,0.31277081807534396,0.31277081807534396,0.3127708181141714,-5.6260962388865465e-08,163.40491539117338,0.0,37.52071285528626,2009.6301889956608,1846.5132698729847,13.75,True,"FLAG 16x12E: shaft power table 30.7 W vs similarity 25.5 W (17%) at 2388 rpm, 11.10 m/s; FLAG 16x12E: shaft power table 31.1 W vs similarity 26.0 W (16%) at 2429 rpm, 11.28 m/s",1.0740161869167222,1.115492161919047,True,-31.277081807534397
